Quals 1,5514,4160,4738,2485,4470,3470
Quals 2,2339,5768,399,1266,4616,5430
Quals 3,3255,5477,4139,3749,5474,4486
Quals 4,1772,2658,3967,702,3476,3491
Quals 5,4078,3952,3965,2984,812,5137
Quals 6,3021,5089,2543,841,3128,3341
Quals 7,3453,1622,4984,5765,3647,1572
Quals 8,4919,2827,5209,5627,1538,2102
Quals 9,5772,5199,3704,4498,4583,2029
Quals 10,5124,5025,3965,2496,4014,2658
Quals 11,4616,4160,3255,3952,5430,3341
Quals 12,2485,3967,5765,2543,399,5474
Quals 13,3647,5137,3491,2339,2827,5514
Quals 14,5089,1572,4486,2029,3470,1772
Quals 15,2102,4583,812,4984,1538,841
Quals 16,4014,5768,4498,5477,4919,2984
Quals 17,5772,3476,4139,1266,3704,5025
Quals 18,5199,3453,702,3021,5209,5124
Quals 19,5627,4078,3749,3128,2496,4470
Quals 20,1622,1772,841,4738,2339,3967
Quals 21,4984,2984,2102,4616,2485,4486
Quals 22,5474,4919,5765,5025,4160,5137
Quals 23,2543,3965,2029,1538,4498,4139
Quals 24,1266,812,1572,4470,702,5124
Quals 25,5199,4078,3255,5089,3476,1622
Quals 26,3470,3341,5514,5768,2658,4583
Quals 27,5477,4738,3128,3952,2827,399
Quals 28,3647,4014,5209,3749,2496,3704
Quals 29,3491,5430,5772,3021,5627,3453
Quals 30,2543,4470,1266,5199,2102,4486
Quals 31,812,1772,4160,5768,5514,1622
Quals 32,4498,3128,5124,5765,3341,4984
Quals 33,5089,1538,399,702,4014,2984
Quals 34,841,5627,2827,2485,3255,3704
Quals 35,3952,2339,3453,4919,3965,4583
Quals 36,5209,3967,3470,2029,5025,4616
Quals 37,3647,5430,2658,4078,5474,4738
Quals 38,3749,1572,4139,3021,5137,3476
Quals 39,5772,2496,3341,3491,5477,2485
Quals 40,1772,2339,5124,3255,2102,4498
Quals 41,1538,1622,3952,3704,5627,3470
Quals 42,4738,5430,841,5025,4919,5199
Quals 43,2029,5768,5474,702,2543,4583
Quals 44,1266,4078,399,1572,4160,2827
Quals 45,4616,5137,3128,3647,4486,5772
Quals 46,4470,4139,3491,5209,5477,2658
Quals 47,5089,4014,812,3453,3476,5765
Quals 48,4984,2496,3965,3967,3021,5514
Quals 49,2984,3341,399,3749,1622,2102
Quals 50,2543,5025,2485,1572,5137,3952
Quals 51,3704,702,5477,3128,3470,5199
Quals 52,5765,4583,4014,3255,4470,4738
Quals 53,1772,5089,5430,5209,5772,3965
Quals 54,5768,2496,3453,4139,2827,2658
Quals 55,4919,2029,1266,3491,4078,4984
Quals 56,3021,4616,2339,5474,5627,812
Quals 57,3476,3749,1538,4486,4498,5514
Quals 58,3967,2984,841,4160,5124,3647
Quals 59,4470,3704,1572,3255,5089,5768
Quals 60,702,5765,2827,5430,3965,5199
Quals 61,5137,5477,1622,1266,1772,3021
Quals 62,2543,4078,1538,399,4616,3491
Quals 63,5025,4984,2658,2339,3749,2984
Quals 64,3952,5514,5474,3453,841,4486
Quals 65,3128,3967,2102,4139,3470,4014
Quals 66,5209,2029,812,3341,4919,3647
Quals 67,2485,4160,5627,4583,3476,5124
Quals 68,4738,2496,702,5772,4498,4616
Quals 69,2984,2658,5514,5477,1572,5430
Quals 70,3704,5768,3491,3965,2102,5474
Quals 71,1772,4470,3341,5025,3453,1538
Quals 72,2827,5199,2485,3749,812,3967
Quals 73,2029,3476,399,841,2496,2339
Quals 74,5089,4738,3470,4984,5124,5137
Quals 75,1266,3647,4498,3952,5627,4014
Quals 76,1622,5772,3255,4919,2543,4139
Quals 77,3021,4486,5765,5209,4583,4078
Quals 78,3128,1538,1572,4160,3967,5199
Quals 79,4616,5477,3749,5124,3453,5089
Quals 80,5514,2102,5137,5627,2029,2658
Quals 81,4014,4984,2827,5474,1772,5772
Quals 82,2485,3341,4078,702,4139,2339
Quals 83,3470,4498,4919,4470,3021,399
Quals 84,1622,4583,4486,5430,2496,5025
Quals 85,3647,3476,5768,5765,3952,3491
Quals 86,841,3965,3255,5209,3128,1266
Quals 87,4160,2984,3704,4738,2543,812
Quals 88,4139,4616,5199,5514,4919,1772
Quals 89,5430,3021,2485,2029,4014,1538
Quals 90,5025,3647,3952,5089,2102,702
Quals 91,5137,4583,3453,399,4498,3967
Quals 92,5209,3704,2339,4984,5477,4160
Quals 93,841,5124,3749,4078,5768,5772
Quals 94,3491,2658,5474,812,1622,3128
Quals 95,2984,3470,2496,1266,3255,5765
Quals 96,3965,5627,4486,3341,1572,4738
Quals 97,4470,3476,4984,2543,2827,4616